chainage_m,x_m,y_m,lon,lat,elevation_m,elevation_smooth_m,dem_source
7864.290681910745,355391.0879015618,6353418.296155374,25.452971812081298,-32.94797750849736,672.0,672.0,OpenTopoData srtm30m
7894.155871580533,355383.96173273213,6353389.293616315,25.452891044027062,-32.948238084976175,674.0,674.0,OpenTopoData srtm30m
7924.155871580105,355381.64946925966,6353359.382858424,25.452861616051393,-32.94850748859446,675.0,675.0,OpenTopoData srtm30m
7953.98320932171,355377.1095930202,6353329.903041592,25.45280843184735,-32.94877271124494,675.0,675.0,OpenTopoData srtm30m
7983.98320932173,355368.09978511446,6353301.28795184,25.45270757830207,-32.94902954432474,672.0,672.0,OpenTopoData srtm30m
8013.983209321733,355359.08997720876,6353272.672862088,25.452606724145667,-32.94928637729561,670.0,671.0,OpenTopoData srtm30m
8043.978832957109,355351.3584155803,6353243.690791906,25.452519482326327,-32.94954668863666,671.0,671.0,OpenTopoData srtm30m
8073.978832957038,355343.8166210403,6353214.6542401975,25.45243426093534,-32.949807516303885,672.0,671.0,OpenTopoData srtm30m
8103.851261649636,355338.3657533402,6353185.283335593,25.452371348688736,-32.950071635866216,671.0,671.0,OpenTopoData srtm30m
8133.851261649328,355336.476736194,6353155.342867757,25.452346440216765,-32.950341363205396,670.0,670.0,OpenTopoData srtm30m
8163.851261649016,355334.58771904785,6353125.402399922,25.452321531559495,-32.95061109052389,669.0,670.0,OpenTopoData srtm30m
8193.188938987609,355326.96588649455,6353097.0720808245,25.452235563442585,-32.95086553915526,670.0,670.0,OpenTopoData srtm30m
8223.188938987778,355312.9899118215,6353070.52641956,25.45208191773417,-32.95110305303802,671.0,671.0,OpenTopoData srtm30m
8253.134310384648,355303.5268141489,6353042.1155932695,25.451976243343758,-32.95135798334231,672.0,671.0,OpenTopoData srtm30m
8283.134310384385,355294.68349104404,6353013.448615116,25.45187715657826,-32.95161530544311,670.0,670.0,OpenTopoData srtm30m
8313.134310384992,355285.84016793926,6352984.781636962,25.451778069210462,-32.951872627438064,669.0,670.0,OpenTopoData srtm30m
