dam_idx,water_start_idx,crest_elevation_m,ponded_length_m,mean_centreline_depth_m,max_centreline_depth_m,upstream_bed_rise_m,dam_chainage_m,lon,lat,bed_elevation_m
213,205,682.5,237.71801337980196,1.6854310180705874,2.5,1.0,6321.739001912406,25.452375749179897,-32.939391160884355,681.0
252,244,678.5,237.0224962443126,2.6963321256528623,3.5,1.0,7475.715551284326,25.45336348504427,-32.944570364846825,677.0
40,32,705.5,236.4427883020087,0.68938999088453,1.5,1.0,1164.4906097512414,25.42418587432836,-32.93120997371603,704.0
76,68,700.5,236.41520409992222,0.9422940280776656,1.5,1.0,2232.118374100224,25.427308717124628,-32.93646173795561,699.0
324,316,663.5,235.96380116020737,1.1354988519109523,1.5,0.0,9627.064802629515,25.451279342302463,-32.962926395055476,662.0
47,39,704.5,233.94884172397428,1.0524592915305138,1.5,1.0,1368.4394514754306,25.424157204587036,-32.92970955599353,703.0
31,23,707.5,233.36390823357863,1.8089748666618537,2.5,1.0,902.7674028483394,25.42196532508958,-32.9318856561024,706.0
16,8,708.5,231.5268851356023,1.759149169501094,2.5,0.0,461.05689803128615,25.4211596419627,-32.929481714380735,707.0
33,25,706.5,229.10397252981784,1.1952482939360325,1.5,1.0,958.0478214492932,25.422488032467097,-32.93170603505142,705.0
390,383,650.5,209.9523570589772,1.0713348543520091,1.5,0.0,11602.215876385042,25.462191592625793,-32.959359956217504,649.0
159,152,689.5,209.82488275997002,1.4285118151717175,1.5,1.0,4709.242728058182,25.443177975290943,-32.93608108785522,688.0
445,438,641.5,209.8186862472994,2.6430913324798055,3.5,0.0,13248.828732524184,25.476422178542354,-32.962677532325486,640.0
362,355,657.5,209.80768472574528,3.072174649472576,3.5,0.0,10762.873981921497,25.45524009101668,-32.96405686935453,656.0
123,116,694.5,209.78484245450773,2.0714830083080797,2.5,0.0,3631.4754426462173,25.43747608299887,-32.943167383607495,693.0
387,380,651.5,209.7490788525629,1.5722697202242564,2.5,1.0,11512.217296184097,25.461486751849485,-32.95991272057396,650.0
485,478,638.5,209.73698348746439,0.9996868519809486,1.5,1.0,14446.373680121067,25.4764980417009,-32.97264199561683,637.0
436,429,644.5,209.73475369164407,2.357327747685917,3.5,0.0,12979.029262373042,25.47371777362252,-32.961901718779984,643.0
145,138,690.5,209.6943780250931,1.9286813746937985,2.5,0.0,4289.64267041005,25.442156973704154,-32.9397306383479,689.0
313,306,665.5,209.68500331168798,1.570855130428453,2.5,1.0,9301.114913737845,25.45173417217746,-32.960418263580166,664.0
223,216,679.5,209.67611068365022,1.7138562400025232,2.5,1.0,6621.388728017554,25.45219185629651,-32.942060820171044,678.0
328,321,662.5,209.65499237502263,0.8576833500235879,1.5,1.0,9746.758330378178,25.450174394844304,-32.96347167887532,661.0
59,52,704.5,209.35687636443072,1.7855169000153877,2.5,0.0,1725.9886812097811,25.425863621022977,-32.93248115952987,703.0
472,465,634.5,209.33923591769235,0.9998296899766194,1.5,1.0,14056.80107303518,25.475935187473333,-32.96918643051994,633.0
196,189,684.5,209.21953010105244,1.5746863505163275,3.5,1.0,5814.95992811942,25.451215449489595,-32.935408743985995,683.0
89,82,701.5,208.8526412230658,1.000376306401499,1.5,1.0,2620.9042174887522,25.43048318710106,-32.93842607958916,700.0
